Name,recall ± std,precision ± std,IoU ± std,chunk_size,chunk_overlap,n_results,recall_mean,recall_std,precision_mean,precision_std,iou_mean,iou_std,Created
ChunkSize_550_Overlap_275_RetrieveResults_5,96.04 ± 16.35,1.44 ± 0.95,1.44 ± 0.94,550,275,5,96.04,16.35,1.44,0.95,1.44,0.94,2025-03-31T20:18:58.000Z
ChunkSize_550_Overlap_275_RetrieveResults_4,96.04 ± 16.35,1.8 ± 1.18,1.8 ± 1.18,550,275,4,96.04,16.35,1.8,1.18,1.8,1.18,2025-03-31T20:18:37.000Z
ChunkSize_550_Overlap_275_RetrieveResults_3,92.54 ± 23.4,2.34 ± 1.63,2.34 ± 1.63,550,275,3,92.54,23.4,2.34,1.63,2.34,1.63,2025-03-31T20:18:16.000Z
ChunkSize_550_Overlap_275_RetrieveResults_2,87.84 ± 29.54,3.19 ± 2.39,3.19 ± 2.38,550,275,2,87.84,29.54,3.19,2.39,3.19,2.38,2025-03-31T20:17:49.000Z
ChunkSize_550_Overlap_275_RetrieveResults_1,72.58 ± 41.88,5.15 ± 4.69,5.12 ± 4.67,550,275,1,72.58,41.88,5.15,4.69,5.12,4.67,2025-03-31T20:17:22.000Z
ChunkSize_500_Overlap_275_RetrieveResults_10,,,,500,275,10,,,,,,,2025-03-31T20:17:05.000Z
ChunkSize_500_Overlap_275_RetrieveResults_9,,,,500,275,9,,,,,,,2025-03-31T20:16:49.000Z
ChunkSize_500_Overlap_275_RetrieveResults_8,,,,500,275,8,,,,,,,2025-03-31T20:16:34.000Z
ChunkSize_500_Overlap_275_RetrieveResults_7,,,,500,275,7,,,,,,,2025-03-31T20:16:18.000Z
ChunkSize_500_Overlap_275_RetrieveResults_6,,,,500,275,6,,,,,,,2025-03-31T20:16:02.000Z
ChunkSize_500_Overlap_275_RetrieveResults_5,,,,500,275,5,,,,,,,2025-03-31T20:15:41.000Z
ChunkSize_500_Overlap_275_RetrieveResults_4,,,,500,275,4,,,,,,,2025-03-31T20:15:25.000Z
ChunkSize_500_Overlap_275_RetrieveResults_3,,,,500,275,3,,,,,,,2025-03-31T20:15:09.000Z
ChunkSize_500_Overlap_275_RetrieveResults_2,,,,500,275,2,,,,,,,2025-03-31T20:14:48.000Z
ChunkSize_500_Overlap_275_RetrieveResults_1,,,,500,275,1,,,,,,,2025-03-31T20:14:32.000Z
ChunkSize_450_Overlap_275_RetrieveResults_10,,,,450,275,10,,,,,,,2025-03-31T20:14:11.000Z
ChunkSize_450_Overlap_275_RetrieveResults_9,,,,450,275,9,,,,,,,2025-03-31T20:13:50.000Z
ChunkSize_450_Overlap_275_RetrieveResults_8,,,,450,275,8,,,,,,,2025-03-31T20:13:24.000Z
ChunkSize_450_Overlap_275_RetrieveResults_7,,,,450,275,7,,,,,,,2025-03-31T20:13:08.000Z
ChunkSize_450_Overlap_275_RetrieveResults_6,,,,450,275,6,,,,,,,2025-03-31T20:12:52.000Z
ChunkSize_450_Overlap_275_RetrieveResults_5,,,,450,275,5,,,,,,,2025-03-31T20:12:36.000Z
ChunkSize_450_Overlap_275_RetrieveResults_4,,,,450,275,4,,,,,,,2025-03-31T20:12:15.000Z
ChunkSize_450_Overlap_275_RetrieveResults_3,,,,450,275,3,,,,,,,2025-03-31T20:11:54.000Z
ChunkSize_450_Overlap_275_RetrieveResults_2,,,,450,275,2,,,,,,,2025-03-31T20:11:33.000Z
ChunkSize_450_Overlap_275_RetrieveResults_1,,,,450,275,1,,,,,,,2025-03-31T20:11:17.000Z
ChunkSize_400_Overlap_275_RetrieveResults_10,,,,400,275,10,,,,,,,2025-03-31T20:10:50.000Z
ChunkSize_400_Overlap_275_RetrieveResults_9,,,,400,275,9,,,,,,,2025-03-31T20:10:29.000Z
ChunkSize_400_Overlap_275_RetrieveResults_8,,,,400,275,8,,,,,,,2025-03-31T20:10:13.000Z
ChunkSize_400_Overlap_275_RetrieveResults_7,,,,400,275,7,,,,,,,2025-03-31T20:09:57.000Z
ChunkSize_400_Overlap_275_RetrieveResults_6,,,,400,275,6,,,,,,,2025-03-31T20:09:36.000Z
ChunkSize_400_Overlap_275_RetrieveResults_5,,,,400,275,5,,,,,,,2025-03-31T20:09:15.000Z
ChunkSize_400_Overlap_275_RetrieveResults_4,,,,400,275,4,,,,,,,2025-03-31T20:08:59.000Z
ChunkSize_400_Overlap_275_RetrieveResults_3,,,,400,275,3,,,,,,,2025-03-31T20:08:44.000Z
ChunkSize_400_Overlap_275_RetrieveResults_2,,,,400,275,2,,,,,,,2025-03-31T20:08:23.000Z
ChunkSize_400_Overlap_275_RetrieveResults_1,,,,400,275,1,,,,,,,2025-03-31T20:08:02.000Z
ChunkSize_350_Overlap_275_RetrieveResults_10,,,,350,275,10,,,,,,,2025-03-31T20:07:40.000Z
ChunkSize_350_Overlap_275_RetrieveResults_9,,,,350,275,9,,,,,,,2025-03-31T20:07:24.000Z
ChunkSize_350_Overlap_275_RetrieveResults_8,,,,350,275,8,,,,,,,2025-03-31T20:06:53.000Z
ChunkSize_350_Overlap_275_RetrieveResults_7,,,,350,275,7,,,,,,,2025-03-31T20:06:37.000Z
ChunkSize_350_Overlap_275_RetrieveResults_6,,,,350,275,6,,,,,,,2025-03-31T20:06:21.000Z
ChunkSize_350_Overlap_275_RetrieveResults_5,,,,350,275,5,,,,,,,2025-03-31T20:06:05.000Z
ChunkSize_350_Overlap_275_RetrieveResults_4,,,,350,275,4,,,,,,,2025-03-31T20:05:49.000Z
ChunkSize_350_Overlap_275_RetrieveResults_3,,,,350,275,3,,,,,,,2025-03-31T20:05:33.000Z
ChunkSize_350_Overlap_275_RetrieveResults_2,,,,350,275,2,,,,,,,2025-03-31T20:05:17.000Z
ChunkSize_350_Overlap_275_RetrieveResults_1,,,,350,275,1,,,,,,,2025-03-31T20:04:56.000Z
ChunkSize_300_Overlap_275_RetrieveResults_10,,,,300,275,10,,,,,,,2025-03-31T20:04:40.000Z
ChunkSize_300_Overlap_275_RetrieveResults_9,,,,300,275,9,,,,,,,2025-03-31T20:04:24.000Z
ChunkSize_300_Overlap_275_RetrieveResults_8,,,,300,275,8,,,,,,,2025-03-31T20:04:03.000Z
ChunkSize_300_Overlap_275_RetrieveResults_7,,,,300,275,7,,,,,,,2025-03-31T20:03:42.000Z
ChunkSize_300_Overlap_275_RetrieveResults_6,,,,300,275,6,,,,,,,2025-03-31T20:03:20.000Z
ChunkSize_300_Overlap_275_RetrieveResults_5,,,,300,275,5,,,,,,,2025-03-31T20:03:04.000Z
ChunkSize_300_Overlap_275_RetrieveResults_4,,,,300,275,4,,,,,,,2025-03-31T20:02:43.000Z
ChunkSize_300_Overlap_275_RetrieveResults_3,,,,300,275,3,,,,,,,2025-03-31T20:02:22.000Z
ChunkSize_300_Overlap_275_RetrieveResults_2,,,,300,275,2,,,,,,,2025-03-31T20:02:06.000Z
ChunkSize_300_Overlap_275_RetrieveResults_1,,,,300,275,1,,,,,,,2025-03-31T20:01:45.000Z
ChunkSize_250_Overlap_275_RetrieveResults_10,,,,250,275,10,,,,,,,2025-03-31T20:01:29.000Z
ChunkSize_250_Overlap_275_RetrieveResults_9,,,,250,275,9,,,,,,,2025-03-31T20:01:13.000Z
ChunkSize_250_Overlap_275_RetrieveResults_8,,,,250,275,8,,,,,,,2025-03-31T20:00:57.000Z
ChunkSize_250_Overlap_275_RetrieveResults_7,,,,250,275,7,,,,,,,2025-03-31T20:00:36.000Z
ChunkSize_250_Overlap_275_RetrieveResults_6,,,,250,275,6,,,,,,,2025-03-31T20:00:20.000Z
ChunkSize_250_Overlap_275_RetrieveResults_5,,,,250,275,5,,,,,,,2025-03-31T20:00:04.000Z
ChunkSize_250_Overlap_275_RetrieveResults_4,,,,250,275,4,,,,,,,2025-03-31T19:59:48.000Z
ChunkSize_250_Overlap_275_RetrieveResults_3,,,,250,275,3,,,,,,,2025-03-31T19:59:32.000Z
ChunkSize_250_Overlap_275_RetrieveResults_2,,,,250,275,2,,,,,,,2025-03-31T19:59:16.000Z
ChunkSize_250_Overlap_275_RetrieveResults_1,,,,250,275,1,,,,,,,2025-03-31T19:59:01.000Z
ChunkSize_200_Overlap_275_RetrieveResults_10,,,,200,275,10,,,,,,,2025-03-31T19:58:44.000Z
ChunkSize_200_Overlap_275_RetrieveResults_9,,,,200,275,9,,,,,,,2025-03-31T19:58:29.000Z
ChunkSize_200_Overlap_275_RetrieveResults_8,,,,200,275,8,,,,,,,2025-03-31T19:58:13.000Z
ChunkSize_200_Overlap_275_RetrieveResults_7,,,,200,275,7,,,,,,,2025-03-31T19:57:57.000Z
ChunkSize_200_Overlap_275_RetrieveResults_6,,,,200,275,6,,,,,,,2025-03-31T19:57:41.000Z
ChunkSize_200_Overlap_275_RetrieveResults_5,,,,200,275,5,,,,,,,2025-03-31T19:57:25.000Z
ChunkSize_200_Overlap_275_RetrieveResults_4,,,,200,275,4,,,,,,,2025-03-31T19:57:09.000Z
ChunkSize_200_Overlap_275_RetrieveResults_3,,,,200,275,3,,,,,,,2025-03-31T19:56:53.000Z
ChunkSize_200_Overlap_275_RetrieveResults_2,,,,200,275,2,,,,,,,2025-03-31T19:56:37.000Z
ChunkSize_200_Overlap_275_RetrieveResults_1,,,,200,275,1,,,,,,,2025-03-31T19:56:21.000Z
ChunkSize_150_Overlap_275_RetrieveResults_10,,,,150,275,10,,,,,,,2025-03-31T19:55:51.000Z
ChunkSize_150_Overlap_275_RetrieveResults_9,,,,150,275,9,,,,,,,2025-03-31T19:55:35.000Z
ChunkSize_150_Overlap_275_RetrieveResults_8,,,,150,275,8,,,,,,,2025-03-31T19:55:19.000Z
ChunkSize_150_Overlap_275_RetrieveResults_7,,,,150,275,7,,,,,,,2025-03-31T19:55:03.000Z
ChunkSize_150_Overlap_275_RetrieveResults_6,,,,150,275,6,,,,,,,2025-03-31T19:54:48.000Z
ChunkSize_150_Overlap_275_RetrieveResults_5,,,,150,275,5,,,,,,,2025-03-31T19:54:32.000Z
ChunkSize_150_Overlap_275_RetrieveResults_4,,,,150,275,4,,,,,,,2025-03-31T19:54:16.000Z
ChunkSize_150_Overlap_275_RetrieveResults_3,,,,150,275,3,,,,,,,2025-03-31T19:53:59.000Z
ChunkSize_150_Overlap_275_RetrieveResults_2,,,,150,275,2,,,,,,,2025-03-31T19:53:44.000Z
ChunkSize_150_Overlap_275_RetrieveResults_1,,,,150,275,1,,,,,,,2025-03-31T19:53:28.000Z
ChunkSize_100_Overlap_275_RetrieveResults_10,,,,100,275,10,,,,,,,2025-03-31T19:53:12.000Z
ChunkSize_100_Overlap_275_RetrieveResults_9,,,,100,275,9,,,,,,,2025-03-31T19:52:56.000Z
ChunkSize_100_Overlap_275_RetrieveResults_8,,,,100,275,8,,,,,,,2025-03-31T19:52:40.000Z
ChunkSize_100_Overlap_275_RetrieveResults_7,,,,100,275,7,,,,,,,2025-03-31T19:52:19.000Z
ChunkSize_100_Overlap_275_RetrieveResults_6,,,,100,275,6,,,,,,,2025-03-31T19:51:57.000Z
ChunkSize_100_Overlap_275_RetrieveResults_5,,,,100,275,5,,,,,,,2025-03-31T19:51:42.000Z
ChunkSize_100_Overlap_275_RetrieveResults_4,,,,100,275,4,,,,,,,2025-03-31T19:51:26.000Z
ChunkSize_100_Overlap_275_RetrieveResults_3,,,,100,275,3,,,,,,,2025-03-31T19:51:10.000Z
ChunkSize_100_Overlap_275_RetrieveResults_2,,,,100,275,2,,,,,,,2025-03-31T19:50:49.000Z
ChunkSize_100_Overlap_275_RetrieveResults_1,,,,100,275,1,,,,,,,2025-03-31T19:50:33.000Z
ChunkSize_50_Overlap_275_RetrieveResults_10,,,,50,275,10,,,,,,,2025-03-31T19:50:12.000Z
ChunkSize_50_Overlap_275_RetrieveResults_9,,,,50,275,9,,,,,,,2025-03-31T19:49:50.000Z
ChunkSize_50_Overlap_275_RetrieveResults_8,,,,50,275,8,,,,,,,2025-03-31T19:49:34.000Z
ChunkSize_50_Overlap_275_RetrieveResults_7,,,,50,275,7,,,,,,,2025-03-31T19:49:13.000Z
ChunkSize_50_Overlap_275_RetrieveResults_6,,,,50,275,6,,,,,,,2025-03-31T19:48:52.000Z
ChunkSize_50_Overlap_275_RetrieveResults_5,,,,50,275,5,,,,,,,2025-03-31T19:48:36.000Z
ChunkSize_50_Overlap_275_RetrieveResults_4,,,,50,275,4,,,,,,,2025-03-31T19:48:20.000Z
ChunkSize_50_Overlap_275_RetrieveResults_3,,,,50,275,3,,,,,,,2025-03-31T19:47:59.000Z
ChunkSize_50_Overlap_275_RetrieveResults_2,,,,50,275,2,,,,,,,2025-03-31T19:47:43.000Z
ChunkSize_50_Overlap_275_RetrieveResults_1,,,,50,275,1,,,,,,,2025-03-31T19:47:28.000Z
ChunkSize_600_Overlap_250_RetrieveResults_10,94.92 ± 17.72,0.64 ± 0.41,0.64 ± 0.41,600,250,10,94.92,17.72,0.64,0.41,0.64,0.41,2025-03-31T19:47:06.000Z
ChunkSize_600_Overlap_250_RetrieveResults_9,93.61 ± 20.75,0.7 ± 0.47,0.7 ± 0.47,600,250,9,93.61,20.75,0.7,0.47,0.7,0.47,2025-03-31T19:46:45.000Z
ChunkSize_600_Overlap_250_RetrieveResults_8,91.37 ± 24.35,0.77 ± 0.54,0.77 ± 0.54,600,250,8,91.37,24.35,0.77,0.54,0.77,0.54,2025-03-31T19:46:24.000Z
ChunkSize_600_Overlap_250_RetrieveResults_7,88.74 ± 28.35,0.85 ± 0.62,0.85 ± 0.62,600,250,7,88.74,28.35,0.85,0.62,0.85,0.62,2025-03-31T19:46:03.000Z
ChunkSize_600_Overlap_250_RetrieveResults_6,88.74 ± 28.35,0.99 ± 0.72,0.99 ± 0.72,600,250,6,88.74,28.35,0.99,0.72,0.99,0.72,2025-03-31T19:45:37.000Z
ChunkSize_600_Overlap_250_RetrieveResults_5,87.43 ± 30.06,1.17 ± 0.88,1.17 ± 0.88,600,250,5,87.43,30.06,1.17,0.88,1.17,0.88,2025-03-31T19:45:16.000Z
ChunkSize_600_Overlap_250_RetrieveResults_4,84.8 ± 33.07,1.42 ± 1.12,1.42 ± 1.12,600,250,4,84.8,33.07,1.42,1.12,1.42,1.12,2025-03-31T19:44:53.000Z
ChunkSize_600_Overlap_250_RetrieveResults_3,81.8 ± 34.62,1.83 ± 1.47,1.83 ± 1.47,600,250,3,81.8,34.62,1.83,1.47,1.83,1.47,2025-03-31T19:44:32.000Z
ChunkSize_600_Overlap_250_RetrieveResults_2,76.54 ± 38.8,2.58 ± 2.26,2.57 ± 2.26,600,250,2,76.54,38.8,2.58,2.26,2.57,2.26,2025-03-31T19:44:11.000Z
ChunkSize_600_Overlap_250_RetrieveResults_1,59.45 ± 45.29,4.1 ± 4.24,4.06 ± 4.22,600,250,1,59.45,45.29,4.1,4.24,4.06,4.22,2025-03-31T19:43:50.000Z
ChunkSize_550_Overlap_250_RetrieveResults_10,96.08 ± 19.32,0.72 ± 0.49,0.72 ± 0.49,550,250,10,96.08,19.32,0.72,0.49,0.72,0.49,2025-03-31T19:43:22.000Z
ChunkSize_550_Overlap_250_RetrieveResults_9,95.62 ± 19.64,0.8 ± 0.55,0.8 ± 0.55,550,250,9,95.62,19.64,0.8,0.55,0.8,0.55,2025-03-31T19:43:01.000Z
ChunkSize_550_Overlap_250_RetrieveResults_8,94.96 ± 20.31,0.9 ± 0.62,0.9 ± 0.62,550,250,8,94.96,20.31,0.9,0.62,0.9,0.62,2025-03-31T19:42:40.000Z
ChunkSize_550_Overlap_250_RetrieveResults_7,94.96 ± 20.31,1.02 ± 0.71,1.02 ± 0.71,550,250,7,94.96,20.31,1.02,0.71,1.02,0.71,2025-03-31T19:42:19.000Z
ChunkSize_550_Overlap_250_RetrieveResults_6,93.4 ± 21.5,1.18 ± 0.83,1.18 ± 0.83,550,250,6,93.4,21.5,1.18,0.83,1.18,0.83,2025-03-31T19:41:58.000Z
ChunkSize_550_Overlap_250_RetrieveResults_5,91.98 ± 23.96,1.4 ± 1.01,1.4 ± 1.01,550,250,5,91.98,23.96,1.4,1.01,1.4,1.01,2025-03-31T19:41:37.000Z
ChunkSize_550_Overlap_250_RetrieveResults_4,88.67 ± 28.42,1.66 ± 1.2,1.66 ± 1.2,550,250,4,88.67,28.42,1.66,1.2,1.66,1.2,2025-03-31T19:41:16.000Z
ChunkSize_550_Overlap_250_RetrieveResults_3,85.42 ± 31.69,2.14 ± 1.64,2.14 ± 1.63,550,250,3,85.42,31.69,2.14,1.64,2.14,1.63,2025-03-31T19:40:55.000Z
ChunkSize_550_Overlap_250_RetrieveResults_2,81.47 ± 35.61,3.05 ± 2.52,3.05 ± 2.52,550,250,2,81.47,35.61,3.05,2.52,3.05,2.52,2025-03-31T19:40:34.000Z
ChunkSize_550_Overlap_250_RetrieveResults_1,73.03 ± 41.21,5.43 ± 4.88,5.39 ± 4.85,550,250,1,73.03,41.21,5.43,4.88,5.39,4.85,2025-03-31T19:40:13.000Z
ChunkSize_500_Overlap_250_RetrieveResults_10,99.44 ± 3.43,0.81 ± 0.52,0.81 ± 0.52,500,250,10,99.44,3.43,0.81,0.52,0.81,0.52,2025-03-31T19:39:50.000Z
ChunkSize_500_Overlap_250_RetrieveResults_9,99.44 ± 3.43,0.9 ± 0.58,0.9 ± 0.58,500,250,9,99.44,3.43,0.9,0.58,0.9,0.58,2025-03-31T19:39:29.000Z
ChunkSize_500_Overlap_250_RetrieveResults_8,99.44 ± 3.43,1.02 ± 0.65,1.02 ± 0.65,500,250,8,99.44,3.43,1.02,0.65,1.02,0.65,2025-03-31T19:39:08.000Z
ChunkSize_500_Overlap_250_RetrieveResults_7,99.44 ± 3.43,1.16 ± 0.74,1.16 ± 0.74,500,250,7,99.44,3.43,1.16,0.74,1.16,0.74,2025-03-31T19:38:47.000Z
ChunkSize_500_Overlap_250_RetrieveResults_6,99.44 ± 3.43,1.35 ± 0.86,1.35 ± 0.86,500,250,6,99.44,3.43,1.35,0.86,1.35,0.86,2025-03-31T19:38:26.000Z
ChunkSize_500_Overlap_250_RetrieveResults_5,97.68 ± 12.37,1.59 ± 1.05,1.59 ± 1.05,500,250,5,97.68,12.37,1.59,1.05,1.59,1.05,2025-03-31T19:38:05.000Z
ChunkSize_500_Overlap_250_RetrieveResults_4,96.07 ± 16.76,1.97 ± 1.32,1.97 ± 1.32,500,250,4,96.07,16.76,1.97,1.32,1.97,1.32,2025-03-31T19:37:44.000Z
ChunkSize_500_Overlap_250_RetrieveResults_3,93.44 ± 22.73,2.58 ± 1.8,2.58 ± 1.8,500,250,3,93.44,22.73,2.58,1.8,2.58,1.8,2025-03-31T19:37:23.000Z
ChunkSize_500_Overlap_250_RetrieveResults_2,89.76 ± 29.05,3.75 ± 2.82,3.75 ± 2.82,500,250,2,89.76,29.05,3.75,2.82,3.75,2.82,2025-03-31T19:37:01.000Z
ChunkSize_500_Overlap_250_RetrieveResults_1,75.55 ± 41.13,5.97 ± 4.92,5.93 ± 4.9,500,250,1,75.55,41.13,5.97,4.92,5.93,4.9,2025-03-31T19:36:40.000Z
ChunkSize_450_Overlap_250_RetrieveResults_10,,,,450,250,10,,,,,,,2025-03-31T19:36:24.000Z
ChunkSize_450_Overlap_250_RetrieveResults_9,,,,450,250,9,,,,,,,2025-03-31T19:36:08.000Z
ChunkSize_450_Overlap_250_RetrieveResults_8,,,,450,250,8,,,,,,,2025-03-31T19:35:47.000Z
ChunkSize_450_Overlap_250_RetrieveResults_7,,,,450,250,7,,,,,,,2025-03-31T19:35:31.000Z
ChunkSize_450_Overlap_250_RetrieveResults_6,,,,450,250,6,,,,,,,2025-03-31T19:35:15.000Z
ChunkSize_450_Overlap_250_RetrieveResults_5,,,,450,250,5,,,,,,,2025-03-31T19:34:59.000Z
ChunkSize_450_Overlap_250_RetrieveResults_4,,,,450,250,4,,,,,,,2025-03-31T19:34:43.000Z
ChunkSize_450_Overlap_250_RetrieveResults_3,,,,450,250,3,,,,,,,2025-03-31T19:34:27.000Z
ChunkSize_450_Overlap_250_RetrieveResults_2,,,,450,250,2,,,,,,,2025-03-31T19:34:11.000Z
ChunkSize_450_Overlap_250_RetrieveResults_1,,,,450,250,1,,,,,,,2025-03-31T19:33:50.000Z
ChunkSize_400_Overlap_250_RetrieveResults_10,,,,400,250,10,,,,,,,2025-03-31T19:33:28.000Z
ChunkSize_400_Overlap_250_RetrieveResults_9,,,,400,250,9,,,,,,,2025-03-31T19:33:12.000Z
ChunkSize_400_Overlap_250_RetrieveResults_8,,,,400,250,8,,,,,,,2025-03-31T19:32:56.000Z
ChunkSize_400_Overlap_250_RetrieveResults_7,,,,400,250,7,,,,,,,2025-03-31T19:32:40.000Z
ChunkSize_400_Overlap_250_RetrieveResults_6,,,,400,250,6,,,,,,,2025-03-31T19:32:25.000Z
ChunkSize_400_Overlap_250_RetrieveResults_5,,,,400,250,5,,,,,,,2025-03-31T19:32:09.000Z
ChunkSize_400_Overlap_250_RetrieveResults_4,,,,400,250,4,,,,,,,2025-03-31T19:31:53.000Z
ChunkSize_400_Overlap_250_RetrieveResults_3,,,,400,250,3,,,,,,,2025-03-31T19:31:37.000Z
ChunkSize_400_Overlap_250_RetrieveResults_2,,,,400,250,2,,,,,,,2025-03-31T19:31:16.000Z
ChunkSize_400_Overlap_250_RetrieveResults_1,,,,400,250,1,,,,,,,2025-03-31T19:30:55.000Z
ChunkSize_350_Overlap_250_RetrieveResults_10,,,,350,250,10,,,,,,,2025-03-31T19:30:33.000Z
ChunkSize_350_Overlap_250_RetrieveResults_9,,,,350,250,9,,,,,,,2025-03-31T19:30:12.000Z
ChunkSize_350_Overlap_250_RetrieveResults_8,,,,350,250,8,,,,,,,2025-03-31T19:29:51.000Z
ChunkSize_350_Overlap_250_RetrieveResults_7,,,,350,250,7,,,,,,,2025-03-31T19:29:36.000Z
ChunkSize_350_Overlap_250_RetrieveResults_6,,,,350,250,6,,,,,,,2025-03-31T19:29:15.000Z
ChunkSize_350_Overlap_250_RetrieveResults_5,,,,350,250,5,,,,,,,2025-03-31T19:28:53.000Z
ChunkSize_350_Overlap_250_RetrieveResults_4,,,,350,250,4,,,,,,,2025-03-31T19:28:33.000Z
ChunkSize_350_Overlap_250_RetrieveResults_3,,,,350,250,3,,,,,,,2025-03-31T19:28:11.000Z
ChunkSize_350_Overlap_250_RetrieveResults_2,,,,350,250,2,,,,,,,2025-03-31T19:27:55.000Z
ChunkSize_350_Overlap_250_RetrieveResults_1,,,,350,250,1,,,,,,,2025-03-31T19:27:34.000Z
ChunkSize_300_Overlap_250_RetrieveResults_10,,,,300,250,10,,,,,,,2025-03-31T19:27:18.000Z
ChunkSize_300_Overlap_250_RetrieveResults_9,,,,300,250,9,,,,,,,2025-03-31T19:27:02.000Z
ChunkSize_300_Overlap_250_RetrieveResults_8,,,,300,250,8,,,,,,,2025-03-31T19:26:45.000Z
ChunkSize_300_Overlap_250_RetrieveResults_7,,,,300,250,7,,,,,,,2025-03-31T19:26:24.000Z
ChunkSize_300_Overlap_250_RetrieveResults_6,,,,300,250,6,,,,,,,2025-03-31T19:26:03.000Z
ChunkSize_300_Overlap_250_RetrieveResults_5,,,,300,250,5,,,,,,,2025-03-31T19:25:42.000Z
ChunkSize_300_Overlap_250_RetrieveResults_4,,,,300,250,4,,,,,,,2025-03-31T19:25:21.000Z
ChunkSize_300_Overlap_250_RetrieveResults_3,,,,300,250,3,,,,,,,2025-03-31T19:25:00.000Z
ChunkSize_300_Overlap_250_RetrieveResults_2,,,,300,250,2,,,,,,,2025-03-31T19:24:39.000Z
ChunkSize_300_Overlap_250_RetrieveResults_1,,,,300,250,1,,,,,,,2025-03-31T19:24:23.000Z
ChunkSize_250_Overlap_250_RetrieveResults_10,,,,250,250,10,,,,,,,2025-03-31T19:24:06.000Z
ChunkSize_250_Overlap_250_RetrieveResults_9,,,,250,250,9,,,,,,,2025-03-31T19:23:51.000Z
ChunkSize_250_Overlap_250_RetrieveResults_8,,,,250,250,8,,,,,,,2025-03-31T19:23:35.000Z
ChunkSize_250_Overlap_250_RetrieveResults_7,,,,250,250,7,,,,,,,2025-03-31T19:23:19.000Z
ChunkSize_250_Overlap_250_RetrieveResults_6,,,,250,250,6,,,,,,,2025-03-31T19:22:58.000Z
ChunkSize_250_Overlap_250_RetrieveResults_5,,,,250,250,5,,,,,,,2025-03-31T19:22:42.000Z
ChunkSize_250_Overlap_250_RetrieveResults_4,,,,250,250,4,,,,,,,2025-03-31T19:22:26.000Z
ChunkSize_250_Overlap_250_RetrieveResults_3,,,,250,250,3,,,,,,,2025-03-31T19:22:11.000Z
ChunkSize_250_Overlap_250_RetrieveResults_2,,,,250,250,2,,,,,,,2025-03-31T19:21:55.000Z
ChunkSize_250_Overlap_250_RetrieveResults_1,,,,250,250,1,,,,,,,2025-03-31T19:21:39.000Z
ChunkSize_200_Overlap_250_RetrieveResults_10,,,,200,250,10,,,,,,,2025-03-31T19:21:23.000Z
ChunkSize_200_Overlap_250_RetrieveResults_9,,,,200,250,9,,,,,,,2025-03-31T19:21:07.000Z
ChunkSize_200_Overlap_250_RetrieveResults_8,,,,200,250,8,,,,,,,2025-03-31T19:20:51.000Z
ChunkSize_200_Overlap_250_RetrieveResults_7,,,,200,250,7,,,,,,,2025-03-31T19:20:35.000Z
ChunkSize_200_Overlap_250_RetrieveResults_6,,,,200,250,6,,,,,,,2025-03-31T19:20:19.000Z
ChunkSize_200_Overlap_250_RetrieveResults_5,,,,200,250,5,,,,,,,2025-03-31T19:20:03.000Z
ChunkSize_200_Overlap_250_RetrieveResults_4,,,,200,250,4,,,,,,,2025-03-31T19:19:47.000Z
ChunkSize_200_Overlap_250_RetrieveResults_3,,,,200,250,3,,,,,,,2025-03-31T19:19:32.000Z
ChunkSize_200_Overlap_250_RetrieveResults_2,,,,200,250,2,,,,,,,2025-03-31T19:19:16.000Z
ChunkSize_200_Overlap_250_RetrieveResults_1,,,,200,250,1,,,,,,,2025-03-31T19:18:55.000Z
ChunkSize_150_Overlap_250_RetrieveResults_10,,,,150,250,10,,,,,,,2025-03-31T19:18:38.000Z
ChunkSize_150_Overlap_250_RetrieveResults_9,,,,150,250,9,,,,,,,2025-03-31T19:18:23.000Z
ChunkSize_150_Overlap_250_RetrieveResults_8,,,,150,250,8,,,,,,,2025-03-31T19:18:07.000Z
ChunkSize_150_Overlap_250_RetrieveResults_7,,,,150,250,7,,,,,,,2025-03-31T19:17:51.000Z
ChunkSize_150_Overlap_250_RetrieveResults_6,,,,150,250,6,,,,,,,2025-03-31T19:17:35.000Z
ChunkSize_150_Overlap_250_RetrieveResults_5,,,,150,250,5,,,,,,,2025-03-31T19:17:19.000Z
ChunkSize_150_Overlap_250_RetrieveResults_4,,,,150,250,4,,,,,,,2025-03-31T19:17:03.000Z
ChunkSize_150_Overlap_250_RetrieveResults_3,,,,150,250,3,,,,,,,2025-03-31T19:16:47.000Z
ChunkSize_150_Overlap_250_RetrieveResults_2,,,,150,250,2,,,,,,,2025-03-31T19:16:32.000Z
ChunkSize_150_Overlap_250_RetrieveResults_1,,,,150,250,1,,,,,,,2025-03-31T19:16:16.000Z
ChunkSize_100_Overlap_250_RetrieveResults_10,,,,100,250,10,,,,,,,2025-03-31T19:16:00.000Z
ChunkSize_100_Overlap_250_RetrieveResults_9,,,,100,250,9,,,,,,,2025-03-31T19:15:44.000Z
ChunkSize_100_Overlap_250_RetrieveResults_8,,,,100,250,8,,,,,,,2025-03-31T19:15:28.000Z
ChunkSize_100_Overlap_250_RetrieveResults_7,,,,100,250,7,,,,,,,2025-03-31T19:15:12.000Z
ChunkSize_100_Overlap_250_RetrieveResults_6,,,,100,250,6,,,,,,,2025-03-31T19:14:35.000Z
ChunkSize_100_Overlap_250_RetrieveResults_5,,,,100,250,5,,,,,,,2025-03-31T19:14:19.000Z
